,Name,Gender,Pet,Age,Country
0,James Marquez,M,dog,35,Canada
1,Danny Harris,M,dog,39,USA
2,Jennifer Hernandez,F,dog,49,Canada
3,Luke Blake,M,cat,37,Canada
4,Bob Fry,M,cat,34,USA
5,Carol Riley,F,cat,29,USA
6,Andrew Alvarado,M,cat,45,Canada
7,Jeremy Williams,M,dog,38,Canada
8,Alyssa Adkins,F,cat,38,USA
9,Deanna Williams,F,cat,25,USA
10,Jonathan Andrade,M,dog,33,Canada
11,Daniel Mills,M,cat,46,USA
12,Jacqueline White,F,cat,40,USA
13,Brian Rogers,M,cat,43,USA
14,Jennifer Young,F,cat,35,Canada
15,Edward Hernandez,M,cat,42,USA
16,Javier Macdonald,M,cat,45,USA
17,Sue Gregory,F,dog,49,Canada
18,Bridget Hess,F,hamster,46,USA
19,Timothy Gibson,M,dog,45,USA
20,Larry Brewer,M,cat,45,Canada
21,Kevin Love,M,hamster,28,Canada
22,Christopher Fleming,M,dog,39,Canada
23,Eric Clark,M,dog,35,USA
24,Olivia Dorsey,F,cat,37,Australia
25,Anthony Kelly,M,cat,52,Canada
26,Michael Hunt,M,cat,35,Australia
27,Molly Maddox,F,dog,44,USA
28,Bill Rowe,M,cat,32,USA
29,Amy Wilson,F,dog,44,USA
30,Mark Shaw,M,cat,31,USA
31,James Lucas,M,cat,42,USA
32,Kaitlyn Ramirez,F,hamster,25,Canada
33,Stephanie Webster,F,hamster,38,USA
34,Dr. Kathy Norton,F,cat,50,Canada
35,Tonya Brown DVM,F,hamster,46,USA
36,Kevin Hall,M,cat,49,USA
37,Gina Crosby,F,cat,36,Australia
38,Kathleen Hughes,F,cat,37,Canada
39,Jessica Marshall,F,cat,23,USA
40,Raymond Peters,M,cat,40,Australia
41,Shirley Mcmillan,F,hamster,43,USA
42,Jerome Patton IV,M,hamster,42,Canada
43,Kurt House,M,cat,39,USA
44,Patricia Combs,F,cat,42,USA
45,Victoria Lowery,F,cat,40,USA
46,Jordan Ellis,M,cat,28,Australia
47,Brandy Watson,F,dog,30,Canada
48,Jeremy Martin,M,dog,39,USA
49,Heather Wu,F,cat,35,USA
50,Laura Randolph,F,hamster,50,USA
51,Wendy Watts,F,hamster,51,USA
52,Laura Hart,F,cat,48,Canada
53,Ronald Carroll,M,dog,50,USA
54,Angelica Santos,F,cat,42,Canada
55,Donald Mahoney,M,cat,42,USA
56,Lindsey Stewart,F,dog,42,USA
57,Tiffany Vega,F,dog,49,USA
58,Nicole Serrano,F,dog,51,Canada
59,Larry Brewer,M,dog,39,Australia
60,Penny Graham,F,cat,47,Australia
61,Steven Frye,M,hamster,45,Canada
62,Jeffrey Marquez,M,cat,42,Canada
63,Julie Rodriguez,F,hamster,51,Canada
64,Nicole Smith,F,cat,47,Canada
65,Michael Coleman,M,dog,54,Canada
66,Elizabeth Garner,F,dog,53,Canada
67,Curtis Dodson,M,hamster,32,USA
68,Mrs. Sheri White MD,F,dog,49,Canada
69,Bethany Moon,F,dog,35,Australia
70,Mark Torres,M,dog,40,Australia
71,Henry Romero,M,dog,35,Canada
72,Nicholas Bentley,M,dog,34,USA
73,Amy Martin,F,hamster,37,USA
74,Sarah Nash,F,hamster,49,Canada
75,Karina Steele,F,cat,41,Canada
76,Selena Clark,F,cat,49,USA
77,Dr. Jesse Cantrell DDS,M,cat,45,Canada
78,Timothy Newman,M,dog,36,USA
79,Thomas Allen,M,dog,39,Canada
80,Dr. Sean Richmond,M,cat,38,USA
81,Lauren Valenzuela,F,dog,37,USA
82,Rebecca Hansen,F,dog,40,USA
83,Anne Diaz,F,hamster,50,USA
84,Brittany Hughes,F,cat,39,Australia
85,Brandon Hernandez,M,hamster,49,Canada
86,Christopher Duncan,M,dog,36,Canada
87,Brianna Fleming,F,dog,36,Australia
88,Brittany Smith,F,dog,32,USA
89,Jessica Phillips,F,hamster,33,Canada
90,Joyce Brown,F,cat,53,Canada
91,Tracy Freeman,F,cat,39,Canada
92,Lisa Tucker,F,cat,34,USA
93,Jennifer Watkins DDS,F,cat,32,USA
94,Joshua Evans,M,cat,40,USA
95,Holly Garcia,F,cat,40,Australia
96,Kayla Payne,F,cat,47,USA
97,Jim Nelson,M,cat,44,Canada
98,Steven West,M,dog,39,USA
99,James Richards,M,cat,45,USA
100,Ashley Johnson,F,cat,47,USA
101,John Hale,M,cat,41,USA
102,Emily Davis,F,cat,52,USA
103,Kenneth Nguyen,M,hamster,44,Australia
104,Dana Young,F,cat,41,USA
105,Brenda Joseph,F,cat,47,USA
106,Zachary Barajas,M,cat,47,Australia
107,Duane Gordon,M,hamster,30,Canada
108,Trevor Johnson,M,hamster,44,USA
109,Kent English,M,hamster,33,Canada
110,Shane Jones,M,dog,36,USA
111,Amanda Butler,F,dog,29,Australia
112,Steven Zamora,M,dog,25,Australia
113,Susan Castillo,F,dog,37,Australia
114,Benjamin Barnes,M,dog,40,USA
115,Timothy Holt,M,dog,34,Canada
116,Zoe King,F,dog,42,USA
117,Sharon Gonzalez,F,dog,36,Canada
118,Ashley Mccullough,F,dog,36,USA
119,Jason Morrison,M,dog,29,Canada
120,Wanda Nolan,F,cat,25,Canada
121,Tiffany Jordan,F,cat,51,Australia
122,Brandon Mora,M,cat,46,Canada
123,Dorothy Avila,F,dog,41,USA
124,Dean Murphy,M,dog,29,USA
125,Erica Morton,F,cat,28,Australia
126,Corey Adams,M,cat,42,USA
127,Robert Knapp,M,cat,39,USA
128,Wendy Jones,F,dog,34,Canada
129,Katherine Walton,F,cat,27,Australia
130,Jesus Alexander,M,dog,39,Canada
131,Jasmine Bowen,F,dog,50,Canada
132,Amy Contreras,F,dog,34,Australia
133,Richard Knight,M,hamster,45,USA
134,Robert Taylor,M,dog,43,Canada
135,Nicole Knight,F,cat,40,USA
136,Timothy Ward,M,cat,43,Canada
137,Amber Kelly,F,hamster,46,Australia
138,Brandon Holt,M,cat,42,USA
139,Yvonne Vincent,F,cat,47,USA
140,Gabriel Williams,M,dog,35,USA
141,Kristi Avila,F,hamster,42,USA
142,Amy Rice,F,cat,46,USA
143,Heather Davis,F,dog,38,USA
144,Lisa Ramos,F,cat,32,Australia
145,Wesley Henderson,M,hamster,39,Canada
146,Jessica Rogers,F,hamster,44,Canada
147,Susan Osborne,F,dog,46,Canada
148,Robert White,M,cat,43,USA
149,Chase Gonzalez,M,dog,42,Canada
150,Craig Bennett,M,dog,35,Canada
151,Jennifer Sellers,F,hamster,34,USA
152,Tricia Gomez,F,cat,49,Canada
153,Christopher Foster,M,cat,37,Canada
154,Brenda Kemp,F,hamster,36,Canada
155,Eduardo Gonzalez DVM,M,cat,37,Canada
156,Joseph Taylor,M,cat,34,USA
157,Angel Roberson,M,cat,41,Canada
158,Robert Howard,M,cat,51,USA
159,Michael Peterson,M,cat,44,USA
160,Denise Harvey,F,hamster,41,USA
161,Bill Weaver,M,dog,54,USA
162,Robert Taylor,M,cat,37,USA
163,Elizabeth Foster,F,dog,32,Canada
164,Jennifer Collins,F,cat,37,Canada
165,Steven Dunlap,M,hamster,34,Canada
166,Amy Washington,F,dog,33,USA
167,Jonathan Ellis,M,cat,38,USA
